mode,sample,elapsed_ms,cli_load_plugins_ms,cli_get_options_ms,run_main_wrapper_ms,notes
baseline,1,592,15.07,,,original_runbook_cold_run
fixed,1,253,8.65,,,original_runbook_cold_run
baseline,2,2104,4.72,,,original_runbook_outlier
fixed,2,268,1.71,,,original_runbook_outlier
baseline,3,219,4.58,,,original_runbook
fixed,3,259,2.65,,,original_runbook
baseline,4,259,6.60,18.52,25.43,real_test_session_1_alternating
fixed,4,249,1.85,14.02,20.41,real_test_session_1_alternating
baseline,5,248,5.28,17.46,23.81,real_test_session_2_alternating
fixed,5,245,2.74,16.20,23.44,real_test_session_2_alternating
baseline,6,254,10.84,24.32,31.80,real_test_session_3_alternating
fixed,6,249,2.37,17.16,23.85,real_test_session_3_alternating
baseline,7,242,5.40,17.32,23.63,real_test_session_4_alternating
fixed,7,227,1.90,12.46,19.46,real_test_session_4_alternating
baseline,8,254,4.95,15.90,24.04,real_test_session_5_alternating
fixed,8,246,1.84,14.39,23.94,real_test_session_5_alternating
